"track_name","album","release_date","duration_ms","popularity","speechiness","danceability","tempo","word","n"
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"slowing",2
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"growing",2
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"smoke",45
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"call",55
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"home",37
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"sleep",20
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"neighbors",4
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"hear",40
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"weep",2
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"streets",24
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"watch",43
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"feelings",29
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"staring",3
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"saddest",1
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"eyes",38
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"loneliness",1
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"barely",5
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"blink",5
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"letters",1
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"reach",5
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"hope",36
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"lyrics",4
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"sync",2
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"ambition",5
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"dead",51
"Growing Apart","Overly Dedicated",2010-09-14,220995,52,0.366,0.586,106.835,"forgotten",1
